,D,eigen_values_obs,pos,vel,des_vel,normals,dists
52,"[[15.70973728 10.74704289 -2.07110124]
 [10.74704289 43.13399207 -5.99994346]
 [-2.07110124 -5.99994346 13.15627066]]",,[ 0.6600596  -0.01698361  0.27916652],[-0.00819745 -0.24204197  0.02719126],[-0.08025283 -0.23249101  0.04480418],"[[ 0.93266706]
 [-0.04090318]
 [ 0.35841189]]",[1.1001834]
53,"[[15.70046512 10.73153823 -2.0874361 ]
 [10.73153823 43.12201007 -6.05367151]
 [-2.0874361  -6.05367151 13.1775248 ]]",,[ 0.6599612  -0.01939026  0.27942346],[-0.00911568 -0.23986795  0.02640559],[-0.08015247 -0.23244627  0.04521409],"[[ 0.93157331]
 [-0.04088249]
 [ 0.36124756]]",[1.0959509]
54,"[[16.0437267  11.20601174 -1.9099048 ]
 [11.20601174 43.05420038 -5.29274534]
 [-1.9099048  -5.29274534 12.90207292]]",,[ 0.65982947 -0.02205371  0.2797223 ],[-0.01416096 -0.24233902  0.02684237],[-0.08378758 -0.2321929   0.03957397],"[[ 0.92999267]
 [-0.04444678]
 [ 0.36488096]]",[1.0950094]
55,"[[16.01049814 11.16159625 -1.9268126 ]
 [11.16159625 43.06377976 -5.36250199]
 [-1.9268126  -5.36250199 12.92572211]]",,[ 0.65969369 -0.02435223  0.27997973],[-0.0153799  -0.25921503  0.02958627],[-0.08344262 -0.23222871  0.04008936],"[[ 0.9313178 ]
 [-0.03949617]
 [ 0.36205967]]",[1.10712697]
56,"[[16.08637162 11.26030172 -1.90172299]
 [11.26030172 43.02860111 -5.24033951]
 [-1.90172299 -5.24033951 12.88502727]]",,[ 0.65952746 -0.02703637  0.2802654 ],[-0.01844655 -0.26806003  0.02731786],[-0.08422823 -0.23209718  0.03919829],"[[ 0.92960385]
 [-0.04448674]
 [ 0.36586557]]",[1.10620579]
57,"[[16.10721227 11.2859627  -1.90197136]
 [11.2859627  43.01202121 -5.22631322]
 [-1.90197136 -5.22631322 12.88076651]]",,[ 0.65931996 -0.03029506  0.28060101],[-0.01718571 -0.27043728  0.02835095],[-0.08444274 -0.23203516  0.03910382],"[[ 0.92898224]
 [-0.04445629]
 [ 0.36744474]]",[1.10808423]
58,"[[15.90730201 11.01496679 -2.01652424]
 [11.01496679 43.05198754 -5.6847276 ]
 [-2.01652424 -5.6847276  13.04071045]]",,[ 0.65918809 -0.03238771  0.28080647],[-0.01552516 -0.25626981  0.02582972],[-0.08236207 -0.23218463  0.04250634],"[[ 0.92973338]
 [-0.04100273]
 [ 0.36594345]]",[1.1132849]
59,"[[15.84283008 10.92434387 -2.05748654]
 [10.92434387 43.05557272 -5.8489941 ]
 [-2.05748654 -5.8489941  13.1015972 ]]",,[ 0.65907651 -0.03413267  0.28097812],[-0.0160154  -0.2473644   0.02670959],[-0.08167974 -0.23219803  0.04373208],"[[ 0.92868016]
 [-0.04092051]
 [ 0.36861724]]",[1.10780154]
60,"[[16.15590408 11.34362905 -1.91391952]
 [11.34362905 42.9626781  -5.22408426]
 [-1.91391952 -5.22408426 12.88141782]]",,[ 0.6588646  -0.03732821  0.28127679],[-0.01692644 -0.24493386  0.02269882],[-0.08494181 -0.23185049  0.03911827],"[[ 0.9289878 ]
 [-0.04541204]
 [ 0.36731379]]",[1.11181413]
61,"[[16.03865399 11.18828355 -1.9756338 ]
 [11.18828355 42.994903   -5.47309851]
 [-1.9756338  -5.47309851 12.96644301]]",,[ 0.65864115 -0.04040865  0.28156587],[-0.02018952 -0.26463007  0.02502854],[-0.08373501 -0.23197111  0.0409616 ],"[[ 0.93024082]
 [-0.04061045]
 [ 0.3646955 ]]",[1.11758862]
62,"[[16.16248147 11.35055245 -1.92042704]
 [11.35055245 42.95149897 -5.23675793]
 [-1.92042704 -5.23675793 12.88601956]]",,[ 0.6584853  -0.04251305  0.28177655],[-0.01901711 -0.26665446  0.02667636],[-0.085009   -0.23180863  0.03922026],"[[ 0.92941808]
 [-0.04384484]
 [ 0.3664146 ]]",[1.11691713]
63,"[[16.22088393 11.42634086 -1.89068634]
 [11.42634086 42.93220938 -5.1182707 ]
 [-1.89068634 -5.1182707  12.84690669]]",,[ 0.65828542 -0.04541096  0.28208017],[-0.01752817 -0.26226087  0.02873464],[-0.08560329 -0.23173639  0.03834481],"[[ 0.92662785]
 [-0.04708035]
 [ 0.37302046]]",[1.11499564]
64,"[[16.23601796 11.44767964 -1.87174498]
 [11.44767964 42.93692482 -5.0583206 ]
 [-1.87174498 -5.0583206  12.82705723]]",,[ 0.65813497 -0.04769416  0.28230515],[-0.01647111 -0.24713722  0.0244453 ],[-0.08575662 -0.23175405  0.03789279],"[[ 0.92381917]
 [-0.04673719]
 [ 0.37996549]]",[1.11126118]
65,"[[16.25792742 11.47474772 -1.86697778]
 [11.47474772 42.92345692 -5.03134434]
 [-1.86697778 -5.03134434 12.81861565]]",,[ 0.65797041 -0.05011182  0.28249972],[-0.0161105  -0.23605611  0.01851311],[-0.08597811 -0.2317036   0.03769891],"[[ 0.92354932]
 [-0.04661945]
 [ 0.38063536]]",[1.11769277]
66,"[[15.58555168 10.54835767 -2.22616937]
 [10.54835767 43.03228164 -6.54918207]
 [-2.22616937 -6.54918207 13.38216669]]",,[ 0.65777694 -0.05271699  0.28270172],[-0.01793388 -0.23764886  0.01775708],[-0.07889814 -0.23211094  0.04898566],"[[ 0.92847982]
 [-0.04170899]
 [ 0.36903331]]",[1.13314711]
67,"[[15.82691956 10.88957414 -2.13095423]
 [10.88957414 42.98649529 -6.06367176]
 [-2.13095423 -6.06367176 13.18658515]]",,[ 0.65760513 -0.05489829  0.28287621],[-0.01988068 -0.24431658  0.01960001],[-0.08151048 -0.23193964  0.0453877 ],"[[ 0.92711525]
 [-0.04356374]
 [ 0.37223582]]",[1.11925468]
68,"[[15.79274913 10.84103862 -2.1507916 ]
 [10.84103862 42.9875803  -6.14773452]
 [-2.1507916  -6.14773452 13.21967057]]",,[ 0.65739215 -0.05765922  0.28309922],[-0.01933641 -0.25197294  0.02041226],[-0.08114576 -0.23194371  0.04601612],"[[ 0.92707765]
 [-0.04013856]
 [ 0.37271427]]",[1.11606441]
