,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
41,"[[ 18.22605744  17.55761485   2.0307972 ]
 [ 17.55761485 156.80472788  11.39778847]
 [  2.0307972   11.39778847  27.04272136]]",[0.4510973  0.41197812 0.2774922 ],[ 0.10010198 -0.10717047 -0.01136289],[-0.01062168 -0.13123031  0.08470967],"[[0.12366345]
 [0.98853547]
 [0.08663124]]",[1.97596754],
42,"[[ 17.97538908  16.39213202   2.16716942]
 [ 16.39213202 157.22942616  10.46754632]
 [  2.16716942  10.46754632  29.23155476]]",[0.45212981 0.41088673 0.27736623],[ 0.11909378 -0.12708895 -0.01525113],[-0.0063279 -0.1219691  0.0933646],"[[0.11550021]
 [0.98998632]
 [0.081159  ]]",[1.93920961],
43,"[[ 17.60963066  15.0751097    1.29289107]
 [ 15.0751097  157.62967353  10.01175199]
 [  1.29289107  10.01175199  26.97151211]]",[0.45327935 0.40960961 0.27720087],[ 0.12575633 -0.14232803 -0.0197043 ],[-0.01157572 -0.12856308  0.08615164],"[[0.10566085]
 [0.99152056]
 [0.07564895]]",[1.92225698],
44,"[[ 17.70517903  15.49827881   1.38281317]
 [ 15.49827881 157.54130082   9.9703859 ]
 [  1.38281317   9.9703859   27.07169568]]",[0.45412909 0.40862891 0.27707993],[ 0.11733642 -0.13507661 -0.01542231],[-0.01135923 -0.12826629  0.08662819],"[[0.10869234]
 [0.99120594]
 [0.07547683]]",[1.91335397],
45,"[[ 17.7665722   15.7624348    1.4386847 ]
 [ 15.7624348  157.48577875   9.93772687]
 [  1.4386847    9.93772687  27.1332006 ]]",[0.45465708 0.40801482 0.27698897],[ 0.10720439 -0.12310169 -0.01501287],[-0.01122066 -0.12807606  0.08692967],"[[0.11058628]
 [0.99100839]
 [0.07531957]]",[1.90777801],
46,"[[ 17.32659212  13.60969221   1.47347849]
 [ 13.60969221 157.85266521  10.47332732]
 [  1.47347849  10.47332732  27.30942332]]",[0.45553508 0.40702221 0.27682898],[ 0.08522049 -0.09202038 -0.01256836],[-0.00807212 -0.12897013  0.08718755],"[[0.09547221]
 [0.99226201]
 [0.07937987]]",[1.92664631],
47,"[[ 17.69576697  15.34614778   1.69486097]
 [ 15.34614778 157.48363245  10.53901428]
 [  1.69486097  10.53901428  26.53146569]]",[0.45640281 0.40607743 0.2767074 ],[ 0.07866411 -0.08727438 -0.01047306],[-0.00902101 -0.13235154  0.08437696],"[[0.10781571]
 [0.99097757]
 [0.07961921]]",[1.91205885],
48,"[[ 18.43117926  18.39930346   1.83134069]
 [ 18.39930346 156.78344377  10.2896948 ]
 [  1.83134069  10.2896948   25.67443305]]",[0.45733562 0.40503693 0.27660753],[ 0.10086978 -0.11345655 -0.01045227],[-0.01269738 -0.13524124  0.08139347],"[[0.12948141]
 [0.98854931]
 [0.0774908 ]]",[1.88419041],
49,"[[ 18.74572824  19.5373144    1.91483916]
 [ 19.5373144  156.49711024  10.10247859]
 [  1.91483916  10.10247859  25.72686164]]",[0.45848358 0.40368461 0.27643361],[ 0.11601564 -0.13646918 -0.01665682],[-0.01355949 -0.1348587   0.08196121],"[[0.13762411]
 [0.98754415]
 [0.07626374]]",[1.87087166],
50,"[[ 19.03471688  20.55612671   1.76317883]
 [ 20.55612671 156.38972416   8.81964808]
 [  1.76317883   8.81964808  25.51113513]]",[0.45984686 0.40200561 0.27620703],[ 0.10825332 -0.13471808 -0.0201852 ],[-0.01479668 -0.1339742   0.083094  ],"[[0.14479324]
 [0.98721536]
 [0.06663889]]",[1.86525011],
51,"[[ 19.115127    20.81159853   1.808754  ]
 [ 20.81159853 156.3154593    8.79009685]
 [  1.808754     8.79009685  25.54670001]]",[0.46033529 0.40138812 0.27612717],[ 0.09821772 -0.12178868 -0.01084553],[-0.01470901 -0.13387565  0.08330828],"[[0.14664676]
 [0.98695135]
 [0.06649629]]",[1.85981346],
52,"[[ 19.11564625  20.74715345   2.26928138]
 [ 20.74715345 155.95281003  11.18266266]
 [  2.26928138  11.18266266  26.24083406]]",[0.46176476 0.3996129  0.27595738],[ 0.08520019 -0.1007922  -0.00691293],[-0.01392546 -0.13523298  0.08277169],"[[0.14650467]
 [0.98556153]
 [0.08488138]]",[1.85546009],
53,"[[ 19.85217068  22.8740456    2.80921894]
 [ 22.8740456  155.2149543   11.39766897]
 [  2.80921894  11.39766897  26.28351764]]",[0.46273023 0.39848256 0.27583916],[ 0.1023732  -0.11998685 -0.01266856],[-0.01294623 -0.13593837  0.08261873],"[[0.16217093]
 [0.98290333]
 [0.08718731]]",[1.86172855],
54,"[[ 20.51235578  24.57832946   3.22814619]
 [ 24.57832946 154.5909017   11.43343348]
 [  3.22814619  11.43343348  26.33047016]]",[0.46379257 0.39723085 0.27570829],[ 0.11943547 -0.14401248 -0.01644687],[-0.01214313 -0.13623393  0.08272958],"[[0.17483345]
 [0.9806484 ]
 [0.0881021 ]]",[1.85655495],
55,"[[ 20.83658826  25.32928201   3.44995027]
 [ 25.32928201 154.32830826  11.26776947]
 [  3.44995027  11.26776947  26.60306854]]",[0.46468297 0.39615002 0.27558774],[ 0.12303087 -0.1499201  -0.01577019],[-0.01114105 -0.1351691   0.08404443],"[[0.18048087]
 [0.97968589]
 [0.08741974]]",[1.84601801],
56,"[[ 21.47667035  26.80545355   3.7727875 ]
 [ 26.80545355 153.75528977  11.13461674]
 [  3.7727875   11.13461674  26.79644238]]",[0.46749793 0.39267737 0.27525078],[ 0.08525431 -0.10002483 -0.00988432],[-0.0106476  -0.13481803  0.08514042],"[[0.19154874]
 [0.97760673]
 [0.08714444]]",[1.81697422],
57,"[[ 21.59188205  26.8490073    4.08061502]
 [ 26.8490073  153.82738644  10.47237827]
 [  4.08061502  10.47237827  28.30948671]]",[0.46852565 0.39151412 0.27515257],[ 0.0984849  -0.10929634 -0.00784792],[-0.00708653 -0.12867257  0.09166866],"[[0.19214394]
 [0.97779001]
 [0.0837103 ]]",[1.80331515],
58,"[[ 21.65271578  26.84878932   4.05875588]
 [ 26.84878932 154.18927186   8.01419247]
 [  4.05875588   8.01419247  30.81016705]]",[0.46951507 0.39037713 0.2750388 ],[ 0.10942197 -0.12834877 -0.0129551 ],[-0.00358056 -0.11725831  0.10330726],"[[0.19197589]
 [0.9791256 ]
 [0.06677061]]",[1.77528941],
59,"[[ 20.09709815  22.68445288   3.95967093]
 [ 22.68445288 155.54522902   9.3570119 ]
 [  3.95967093   9.3570119   31.14881427]]",[0.47116564 0.38829274 0.27478271],[ 0.10523754 -0.13662078 -0.01899757],[-0.00057202 -0.11818888  0.10307725],"[[0.16169299]
 [0.98387796]
 [0.0764169 ]]",[1.77429694],
60,"[[ 21.8442586   27.6132796    3.42464972]
 [ 27.6132796  153.98017136   7.43728052]
 [  3.42464972   7.43728052  28.18494576]]",[0.47308451 0.38595675 0.27449579],[ 0.07904603 -0.08930302 -0.00826472],[-0.00820424 -0.12510677  0.09570045],"[[0.19707501]
 [0.97853034]
 [0.06033087]]",[1.71071727],
61,"[[ 21.79879074  27.741715     3.06784719]
 [ 27.741715   153.89571842   7.83230223]
 [  3.06784719   7.83230223  26.67037086]]",[0.47481757 0.38407245 0.27442129],[ 0.10721631 -0.1194269  -0.00536496],[-0.01212363 -0.13085478  0.08988908],"[[0.19775263]
 [0.97828809]
 [0.06201864]]",[1.69857899],
62,"[[ 21.36682723  26.69177392   3.28947813]
 [ 26.69177392 154.10414961   9.39282875]
 [  3.28947813   9.39282875  27.08411369]]",[0.47605364 0.38258303 0.2743185 ],[ 0.10620147 -0.13357229 -0.00614238],[-0.01154738 -0.13147292  0.0892879 ],"[[0.19023635]
 [0.97895386]
 [0.07388827]]",[1.68793874],
63,"[[ 22.41747162  29.073877     3.36891856]
 [ 29.073877   153.25957856   8.20043068]
 [  3.36891856   8.20043068  26.76707228]]",[0.47672649 0.38166166 0.27427223],[ 0.09556152 -0.132497   -0.00850692],[-0.01225433 -0.13076313  0.08944367],"[[0.20784292]
 [0.97597836]
 [0.06532656]]",[1.68107248],
64,"[[ 22.57548368  29.39305307   3.43967369]
 [ 29.39305307 153.1151241    8.18645875]
 [  3.43967369   8.18645875  26.82674421]]",[0.47728616 0.38086055 0.27424819],[ 0.08146985 -0.11728915 -0.00301012],[-0.01211674 -0.1306721   0.08973337],"[[0.21027172]
 [0.97545343]
 [0.06539433]]",[1.67441025],
65,"[[ 22.73760645  29.71557531   3.51480861]
 [ 29.71557531 152.96501258   8.18726511]
 [  3.51480861   8.18726511  26.89042863]]",[0.47785315 0.38005788 0.2742586 ],[ 0.06671659 -0.09666551 -0.00056218],[-0.01198154 -0.13059305  0.09002004],"[[0.21273432]
 [0.97490675]
 [0.06558161]]",[1.6677888],
66,"[[ 22.95327023  30.13750416   3.61050513]
 [ 30.13750416 152.76741619   8.17517553]
 [  3.61050513   8.17517553  26.96817331]]",[0.47859723 0.37903261 0.27424526],[ 0.07635719 -0.10560138 -0.0009467 ],[-0.01180407 -0.13048823  0.09038685],"[[0.21596192]
 [0.974187  ]
 [0.06572774]]",[1.65938321],
67,"[[ 23.24254868  30.69127022   3.73359901]
 [ 30.69127022 152.50457321   8.14640908]
 [  3.73359901   8.14640908  27.06325287]]",[0.47957854 0.37772692 0.27420315],[ 0.10436018 -0.13964336 -0.00451299],[-0.01157229 -0.13035423  0.09085277],"[[0.22021027]
 [0.97322894]
 [0.06582452]]",[1.64878196],
