,D,eigen_values_obs,pos,vel,des_vel,normals,dists
23,"[[13.58728433 -3.52839809 -0.82778169]
 [-3.52839809 59.01267263 -0.12234883]
 [-0.82778169 -0.12234883 12.53001564]]","[[60.          0.          0.        ]
 [ 0.         13.77167874  0.        ]
 [ 0.          0.         12.        ]]",[0.39853527 0.43551735 0.18043381],[ 0.08549872 -0.11384794  0.03729355],[-0.0302175  -0.16413452  0.02734739],"[[-0.08611036]
 [ 0.99627506]
 [ 0.00458273]]",[4.73735267]
24,"[[13.60000423 -3.58679496 -0.83588235]
 [-3.58679496 59.07892928 -0.09179479]
 [-0.83588235 -0.09179479 12.53565771]]","[[60.          0.          0.        ]
 [ 0.         13.78813084  0.        ]
 [ 0.          0.         12.        ]]",[0.39939161 0.43439043 0.18079301],[ 0.08498636 -0.11248154  0.0359512 ],[-0.03031266 -0.16392815  0.02751161],"[[-0.08631298]
 [ 0.99625712]
 [ 0.00467178]]",[4.70689606]
25,"[[13.60500598 -3.62151112 -0.84025801]
 [-3.62151112 59.14111765 -0.07579468]
 [-0.84025801 -0.07579468 12.53965854]]","[[60.          0.          0.        ]
 [ 0.         13.79841642  0.        ]
 [ 0.          0.         12.        ]]",[0.4001979  0.43330177 0.18113669],[ 0.07830213 -0.10526507  0.03444312],[-0.03040116 -0.16372451  0.02767044],"[[-0.08609037]
 [ 0.99627721]
 [ 0.00449039]]",[4.67797206]
26,"[[13.61225753 -3.65734175 -0.84511705]
 [-3.65734175 59.19040052 -0.06062812]
 [-0.84511705 -0.06062812 12.54356315]]","[[60.          0.          0.        ]
 [ 0.         13.80939558  0.        ]
 [ 0.          0.         12.        ]]",[0.40091748 0.43235592 0.18147265],[ 0.08025559 -0.10430506  0.03698558],[-0.03047648 -0.16354904  0.02780714],"[[-0.08608388]
 [ 0.99627821]
 [ 0.00439301]]",[4.65293981]
27,"[[ 1.36201014e+01 -3.69553694e+00 -8.49897084e-01]
 [-3.69553694e+00  5.92479309e+01 -5.02999601e-02]
 [-8.49897084e-01 -5.02999601e-02  1.25477617e+01]]","[[60.          0.          0.        ]
 [ 0.         13.82184624  0.        ]
 [ 0.          0.         12.        ]]",[0.40184913 0.43118622 0.18191352],[ 0.0838825  -0.1080327   0.03726987],[-0.03057244 -0.16332233  0.02797961],"[[-0.08600208]
 [ 0.99628644]
 [ 0.00412032]]",[4.62201574]
28,"[[ 1.36269164e+01 -3.72780529e+00 -8.57009682e-01]
 [-3.72780529e+00  5.92982180e+01 -2.84618538e-02]
 [-8.57009682e-01 -2.84618538e-02  1.25538467e+01]]","[[60.          0.          0.        ]
 [ 0.         13.83528297  0.        ]
 [ 0.          0.         12.        ]]",[0.40275345 0.43006072 0.1823111 ],[ 0.08922368 -0.11332287  0.0394066 ],[-0.03065995 -0.16311273  0.02814608],"[[-0.08591206]
 [ 0.99629403]
 [ 0.00416318]]",[4.59288728]
29,"[[ 1.36349776e+01 -3.76013121e+00 -8.65505029e-01]
 [-3.76013121e+00  5.93447015e+01 -2.68198190e-03]
 [-8.65505029e-01 -2.68198190e-03  1.25608334e+01]]","[[60.          0.          0.        ]
 [ 0.         13.85046267  0.        ]
 [ 0.          0.         12.        ]]",[0.40369022 0.4288986  0.18273484],[ 0.0926015  -0.11559506  0.04297487],[-0.03075315 -0.16290173  0.02831323],"[[-0.08588234]
 [ 0.99629592]
 [ 0.00432039]]",[4.56345913]
30,"[[ 1.36403576e+01 -3.78262686e+00 -8.73946226e-01]
 [-3.78262686e+00  5.93872451e+01  2.36026696e-02]
 [-8.73946226e-01  2.36026696e-02  1.25682158e+01]]","[[60.          0.          0.        ]
 [ 0.         13.86443322  0.        ]
 [ 0.          0.         12.        ]]",[0.40459734 0.42776579 0.18314827],[ 0.08942531 -0.11275174  0.03962741],[-0.03084404 -0.16269566  0.02847766],"[[-0.0857155 ]
 [ 0.99630937]
 [ 0.00452705]]",[4.53491265]
31,"[[ 1.36491787e+01 -3.81297196e+00 -8.81973169e-01]
 [-3.81297196e+00  5.94252497e+01  4.14196176e-02]
 [-8.81973169e-01  4.14196176e-02  1.25750426e+01]]","[[60.          0.          0.        ]
 [ 0.         13.87967594  0.        ]
 [ 0.          0.         12.        ]]",[0.4054792  0.42664855 0.18353937],[ 0.08466009 -0.1086186   0.0361845 ],[-0.03092932 -0.16248242  0.02864814],"[[-0.0857692 ]
 [ 0.99630451]
 [ 0.00457857]]",[4.50588674]
32,"[[ 1.36543605e+01 -3.83227119e+00 -8.87814298e-01]
 [-3.83227119e+00  5.94618327e+01  4.76957050e-02]
 [-8.87814298e-01  4.76957050e-02  1.25810394e+01]]","[[60.          0.          0.        ]
 [ 0.         13.89206304  0.        ]
 [ 0.          0.         12.        ]]",[0.40635088 0.42554181 0.18390782],[ 0.08539178 -0.1083541   0.03572194],[-0.03101127 -0.16225726  0.02883029],"[[-0.0856212 ]
 [ 0.99631804]
 [ 0.00440202]]",[4.47645846]
