,D,eigen_values_obs,pos,vel,des_vel,normals,dists
53,"[[13.59092247  7.10951364 -2.04865581]
 [ 7.10951364 43.77099133 -9.15503215]
 [-2.04865581 -9.15503215 14.6380862 ]]",,[0.42452392 0.39055687 0.17813177],[ 0.09379551 -0.13384031  0.01800333],[-0.03340093 -0.14926208  0.04301091],"[[0.05722201]
 [0.99829902]
 [0.01116758]]",[3.12877859]
54,"[[13.59372696  7.10955314 -2.07085951]
 [ 7.10955314 43.71543627 -9.23802263]
 [-2.07085951 -9.23802263 14.69083677]]",,[0.42538395 0.38934962 0.1783161 ],[ 0.09366958 -0.13248223  0.02160104],[-0.03338428 -0.14892596  0.04337892],"[[0.057262  ]
 [0.99829573]
 [0.0112565 ]]",[3.10097115]
55,"[[13.60852968  7.12725382 -2.12648859]
 [ 7.12725382 43.58023607 -9.4222843 ]
 [-2.12648859 -9.4222843  14.81123425]]",,[0.4269037  0.38716295 0.17865058],[ 0.09503745 -0.13754937  0.02102046],[-0.03342617 -0.14810843  0.04418966],"[[0.05660082]
 [0.99836213]
 [0.00833079]]",[3.04453114]
56,"[[13.61665589  7.1369961  -2.15622876]
 [ 7.1369961  43.50745537 -9.51903021]
 [-2.15622876 -9.51903021 14.87588874]]",,[0.42764056 0.38604272 0.17879392],[ 0.09123336 -0.13782805  0.01778884],[-0.03346349 -0.14773015  0.04463222],"[[0.05655134]
 [0.99836481]
 [0.00834603]]",[3.01719431]
57,"[[13.61227544  7.12310323 -2.16884398]
 [ 7.12310323 43.47018076 -9.58204732]
 [-2.16884398 -9.58204732 14.9175438 ]]",,[0.42837971 0.38487337 0.17893336],[ 0.0903982  -0.1449831   0.01712422],[-0.0334083  -0.14759931  0.04494107],"[[0.05710874]
 [0.99829676]
 [0.01192342]]",[2.99390545]
58,"[[13.61191822  7.11039759 -2.20749215]
 [ 7.11039759 43.36496217 -9.73755782]
 [-2.20749215 -9.73755782 15.02311962]]",,[0.42929048 0.38338587 0.17911208],[ 0.08955854 -0.14943834  0.0176455 ],[-0.03330708 -0.14692223  0.04561344],"[[0.05621741]
 [0.99836248]
 [0.01058092]]",[2.95404396]
59,"[[13.61254489  7.10383774 -2.23311542]
 [ 7.10383774 43.29494929 -9.83767314]
 [-2.23311542 -9.83767314 15.09250582]]",,[0.42989504 0.38234762 0.17922547],[ 0.08423841 -0.1459678   0.01592105],[-0.03326358 -0.14653798  0.04606471],"[[0.05598099]
 [0.99836872]
 [0.01122583]]",[2.92705069]
60,"[[13.61658847  7.10406072 -2.26189035]
 [ 7.10406072 43.21863086 -9.93982492]
 [-2.26189035 -9.93982492 15.16478067]]",,[0.43086565 0.38058825 0.17940155],[ 0.07843834 -0.14470522  0.01408414],[-0.03327665 -0.14623349  0.04655987],"[[0.05661317]
 [0.99830609]
 [0.0134129 ]]",[2.88717223]
61,"[[ 13.61754792   7.09384915  -2.30055821]
 [  7.09384915  43.11048219 -10.08922994]
 [ -2.30055821 -10.08922994  15.27196988]]",,[0.43165806 0.37913557 0.17953063],[ 0.08033751 -0.1424499   0.014575  ],[-0.0331962  -0.14558382  0.0472133 ],"[[0.05589195]
 [0.99837247]
 [0.01133561]]",[2.84791279]
62,"[[ 13.62350004   7.09307392  -2.34489907]
 [  7.09307392  42.98964964 -10.24486723]
 [ -2.34489907 -10.24486723  15.38685031]]",,[0.43268331 0.37741723 0.17971367],[ 0.08845423 -0.14369287  0.01651341],[-0.03318495 -0.14498509  0.04793061],"[[0.05569945]
 [0.99837936]
 [0.01167129]]",[2.80563283]
