,D,eigen_values_obs,pos,vel,des_vel,normals,dists
24,"[[12.65820161  4.93557971 -0.26144466]
 [ 4.93557971 59.45613139  0.76546533]
 [-0.26144466  0.76546533 12.81517336]]","[[60.          0.          0.        ]
 [ 0.         12.94591061  0.        ]
 [ 0.          0.         12.        ]]",[0.40282343 0.43493606 0.17492205],[ 1.01529430e-01 -1.08965675e-01  7.61519401e-05],[-0.03135479 -0.15943219  0.0322041 ],"[[0.10354909]
 [0.99449943]
 [0.01576305]]",[4.20625518]
25,"[[12.59887865  4.39912846 -0.2752729 ]
 [ 4.39912846 59.52024099  1.65602769]
 [-0.2752729   1.65602769 13.01619483]]","[[60.          0.          0.        ]
 [ 0.         13.14892737  0.        ]
 [ 0.          0.         12.        ]]",[0.40389638 0.43375141 0.17490381],[ 0.09980742 -0.11051683 -0.00294035],[-0.0317744  -0.15974367  0.03242184],"[[0.092105  ]
 [0.99514371]
 [0.03472263]]",[4.19247547]
26,"[[12.66739207  4.92367116 -0.28614234]
 [ 4.92367116 59.47202504  0.67950865]
 [-0.28614234  0.67950865 12.8212088 ]]","[[60.         0.         0.       ]
 [ 0.        12.9669454  0.       ]
 [ 0.         0.        12.       ]]",[0.40456737 0.4329811  0.17487618],[ 0.09622543 -0.10997094 -0.00250343],[-0.03183191 -0.15890451  0.03265592],"[[0.10335416]
 [0.99454922]
 [0.0137758 ]]",[4.14888964]
27,"[[12.67025243  4.93128273 -0.28951862]
 [ 4.93128273 59.47259349  0.65823677]
 [-0.28951862  0.65823677 12.81976723]]","[[60.          0.          0.        ]
 [ 0.         12.96745945  0.        ]
 [ 0.          0.         12.        ]]",[0.40535809 0.43205616 0.17482344],[ 0.09633504 -0.11308355 -0.00739478],[-0.03190057 -0.15877847  0.03269628],"[[0.1035253 ]
 [0.99453789]
 [0.01330003]]",[4.13605687]
28,"[[12.67947653  4.99292825 -0.28155533]
 [ 4.99292825 59.45974326  0.71688063]
 [-0.28155533  0.71688063 12.83720626]]","[[60.          0.          0.        ]
 [ 0.         12.97958159  0.        ]
 [ 0.          0.         12.        ]]",[0.40638236 0.4308281  0.17472966],[ 0.10474587 -0.12699625 -0.01001609],[-0.03190246 -0.15865524  0.03281718],"[[0.1048251 ]
 [0.99438454]
 [0.01452846]]",[4.11761136]
29,"[[12.68002155  4.98818013 -0.28629378]
 [ 4.98818013 59.46266115  0.71096596]
 [-0.28629378  0.71096596 12.84729091]]","[[60.          0.          0.        ]
 [ 0.         12.99152577  0.        ]
 [ 0.          0.         12.        ]]",[0.40746305 0.42952594 0.17462783],[ 0.10995337 -0.13365244 -0.01137755],[-0.03192865 -0.15844871  0.03302867],"[[0.10473175]
 [0.99439658]
 [0.01437707]]",[4.09251569]
30,"[[12.68862976  5.0344987  -0.28510709]
 [ 5.0344987  59.4530488   0.73973573]
 [-0.28510709  0.73973573 12.8671853 ]]","[[60.          0.          0.        ]
 [ 0.         13.00936254  0.        ]
 [ 0.          0.         12.        ]]",[0.40855785 0.42819629 0.17450447],[ 0.10862993 -0.13083455 -0.01108667],[-0.03198367 -0.15821754  0.03329913],"[[0.10571217]
 [0.99428405]
 [0.01497188]]",[4.06309936]
31,"[[12.67641218  4.92284285 -0.31339939]
 [ 4.92284285 59.48074101  0.61212306]
 [-0.31339939  0.61212306 12.8634366 ]]","[[60.          0.          0.        ]
 [ 0.         13.02062133  0.        ]
 [ 0.          0.         12.        ]]",[0.40974213 0.42675419 0.17435362],[ 0.10917989 -0.13253907 -0.01355575],[-0.03208485 -0.15777991  0.03366672],"[[0.10337888]
 [0.99456687]
 [0.01222866]]",[4.02501455]
32,"[[12.67311186  4.89030137 -0.31639793]
 [ 4.89030137 59.48555096  0.68857307]
 [-0.31639793  0.68857307 12.89508051]]","[[60.          0.          0.        ]
 [ 0.         13.05374334  0.        ]
 [ 0.          0.         12.        ]]",[0.41082762 0.42544546 0.17421563],[ 0.10846697 -0.12831918 -0.01159447],[-0.03208633 -0.15750992  0.03397161],"[[0.10268157]
 [0.99461786]
 [0.01384948]]",[3.99179768]
33,"[[12.67293787  4.87532278 -0.32553948]
 [ 4.87532278 59.48964569  0.65233525]
 [-0.32553948  0.65233525 12.90242418]]","[[60.          0.          0.        ]
 [ 0.         13.06500774  0.        ]
 [ 0.          0.         12.        ]]",[0.41182112 0.42425733 0.17408976],[ 0.1076579  -0.1303135  -0.01450836],[-0.03212503 -0.15723728  0.03422192],"[[0.10237346]
 [0.99466018]
 [0.01306915]]",[3.95966344]
34,"[[12.67161856  4.85917103 -0.33274428]
 [ 4.85917103 59.49432614  0.59952299]
 [-0.33274428  0.59952299 12.89767416]]","[[60.          0.          0.        ]
 [ 0.         13.06361887  0.        ]
 [ 0.          0.         12.        ]]",[0.41237763 0.42359506 0.17402165],[ 0.11101886 -0.13281725 -0.01402136],[-0.03214651 -0.15712568  0.03431566],"[[0.10204206]
 [0.99470843]
 [0.01193989]]",[3.94251473]
