,D,eigen_values_obs,pos,vel,des_vel,normals,dists
28,"[[13.54416798  7.2652122  -0.64983404]
 [ 7.2652122  46.18236159 -3.05742785]
 [-0.64983404 -3.05742785 12.27347043]]",,[0.47132412 0.49017094 0.23742565],[ 0.0829556  -0.11195521 -0.00438562],[-0.03615253 -0.17009538  0.01521411],"[[0.04697957]
 [0.99690759]
 [0.06299343]]",[6.24587323]
29,"[[13.55530024  7.28964949 -0.65792116]
 [ 7.28964949 46.16638678 -3.08365837]
 [-0.65792116 -3.08365837 12.27831298]]",,[0.47224678 0.48893111 0.23740394],[ 0.08377941 -0.11321092 -0.00321099],[-0.03626653 -0.16998021  0.01534142],"[[0.04723925]
 [0.99686057]
 [0.06354092]]",[6.21901773]
30,"[[13.56484612  7.31039556 -0.66620838]
 [ 7.31039556 46.15152625 -3.1122848 ]
 [-0.66620838 -3.1122848  12.28362764]]",,[0.47320131 0.48765274 0.23737353],[ 0.08899284 -0.11875585 -0.0007728 ],[-0.03635623 -0.16984318  0.01547809],"[[0.04707306]
 [0.99687009]
 [0.06351502]]",[6.18947138]
31,"[[13.5747353   7.33173235 -0.67555918]
 [ 7.33173235 46.13545078 -3.14530266]
 [-0.67555918 -3.14530266 12.28981392]]",,[0.47424659 0.48626245 0.23732917],[ 0.08489959 -0.11690076 -0.00806423],[-0.03644483 -0.1696817   0.01563478],"[[0.04691188]
 [0.99689054]
 [0.06331294]]",[6.15561544]
32,"[[13.58021517  7.34349675 -0.68097098]
 [ 7.34349675 46.12633019 -3.16457423]
 [-0.68097098 -3.16457423 12.29345464]]",,[0.4748393  0.48547888 0.23729278],[ 0.08384979 -0.11240662 -0.00669574],[-0.03649245 -0.16958586  0.01572589],"[[0.04688562]
 [0.99690753]
 [0.06306443]]",[6.13613188]
33,"[[13.58583252  7.35554795 -0.68630925]
 [ 7.35554795 46.11714974 -3.18329994]
 [-0.68630925 -3.18329994 12.29701773]]",,[0.47541888 0.48471453 0.23725883],[ 0.08380339 -0.1108436  -0.00466206],[-0.03654267 -0.16949543  0.01581477],"[[0.04687129]
 [0.99691075]
 [0.06302411]]",[6.11669082]
34,"[[13.59486205  7.37493832 -0.69407037]
 [ 7.37493832 46.10308444 -3.20951028]
 [-0.69407037 -3.20951028 12.30205351]]",,[0.47625544 0.48363518 0.23721446],[ 0.08569171 -0.10970006 -0.0043554 ],[-0.03662704 -0.16937022  0.01593977],"[[0.04707401]
 [0.99690289]
 [0.0629974 ]]",[6.09028284]
35,"[[13.59156433  7.36728548 -0.69738333]
 [ 7.36728548 46.1028599  -3.22815858]
 [-0.69738333 -3.22815858 12.30557577]]",,[0.47713953 0.48251546 0.23717452],[ 0.09139523 -0.11527392 -0.00311483],[-0.03656576 -0.16926141  0.01602219],"[[0.05343095]
 [0.99636892]
 [0.06628808]]",[6.05286012]
36,"[[13.59736452  7.37950973 -0.70454632]
 [ 7.37950973 46.09188266 -3.25486535]
 [-0.70454632 -3.25486535 12.31075281]]",,[0.47805122 0.4813836  0.23714398],[ 0.08949582 -0.11206845 -0.00362828],[-0.03660408 -0.16910366  0.01614489],"[[0.05359747]
 [0.99640852]
 [0.0655544 ]]",[6.02269637]
37,"[[13.59974824  7.38430123 -0.70981519]
 [ 7.38430123 46.0853037  -3.2764463 ]
 [-0.70981519 -3.2764463  12.31494806]]",,[0.47886853 0.48038585 0.23712774],[ 0.09219703 -0.11141811 -0.00051084],[-0.03661057 -0.16899126  0.01624427],"[[0.05379364]
 [0.99638132]
 [0.06580658]]",[5.9973225]
38,"[[13.61374279  7.41428557 -0.72037777]
 [ 7.41428557 46.06467924 -3.30975082]
 [-0.72037777 -3.30975082 12.32157797]]",,[0.47986086 0.47920354 0.23712069],[ 0.08721319 -0.10507017 -0.00149727],[-0.03675264 -0.16885876  0.01640645],"[[0.0570492 ]
 [0.99634468]
 [0.06358191]]",[5.98501551]
39,"[[13.63532217  7.46044798 -0.73419026]
 [ 7.46044798 46.03505756 -3.34942457]
 [-0.73419026 -3.34942457 12.32962027]]",,[0.48078454 0.47813683 0.23712132],[ 0.09210988 -0.10624835  0.00061512],[-0.03697733 -0.16869304  0.01660125],"[[0.04710628]
 [0.99691753]
 [0.06274105]]",[5.95124442]
40,"[[13.63924643  7.46860997 -0.73865277]
 [ 7.46860997 46.02791287 -3.36539361]
 [-0.73865277 -3.36539361 12.33284069]]",,[0.48173436 0.47705683 0.23713342],[ 0.09330181 -0.10624187  0.00093687],[-0.03701805 -0.16865881  0.01668052],"[[0.05706992]
 [0.99622679]
 [0.06538507]]",[5.93765977]
41,"[[13.64696323  7.48462699 -0.74736022]
 [ 7.48462699 46.01389908 -3.3963797 ]
 [-0.74736022 -3.3963797  12.33913769]]",,[0.48271619 0.47595599 0.23716575],[ 0.09590702 -0.10658667  0.00363727],[-0.03708006 -0.16851039  0.01682622],"[[0.05706769]
 [0.99621223]
 [0.06560848]]",[5.90724707]
42,"[[13.65986547  7.51184049 -0.75647607]
 [ 7.51184049 45.99537404 -3.42348681]
 [-0.75647607 -3.42348681 12.34476049]]",,[0.48368666 0.47487932 0.23719025],[ 0.09570155 -0.10589468  0.00311419],[-0.03719285 -0.1683189   0.01695047],"[[0.04780346]
 [0.9966294 ]
 [0.06666833]]",[5.85824496]
43,"[[13.67804377  7.5503138  -0.76583702]
 [ 7.5503138  45.97243833 -3.44586351]
 [-0.76583702 -3.44586351 12.3495179 ]]",,[0.48471817 0.47375864 0.23724324],[ 0.09327825 -0.09926105  0.00702364],[-0.03738299 -0.16820376  0.0170611 ],"[[0.04707593]
 [0.99685688]
 [0.06371985]]",[5.85481016]
44,"[[13.69315831  7.58182357 -0.77644408]
 [ 7.58182357 45.95078201 -3.4768527 ]
 [-0.77644408 -3.4768527  12.35605968]]",,[0.48593233 0.47245791 0.23731756],[ 0.09481314 -0.10088636  0.00554987],[-0.03753199 -0.16806517  0.01721132],"[[0.04699736]
 [0.99681959]
 [0.06435801]]",[5.82681252]
45,"[[13.70477135  7.60572576 -0.78642159]
 [ 7.60572576 45.9324475  -3.50856842]
 [-0.78642159 -3.50856842 12.36278115]]",,[0.48702941 0.47128757 0.23737885],[ 0.10150787 -0.10924406  0.00487402],[-0.0376396  -0.16792661  0.01736338],"[[0.04708201]
 [0.99676955]
 [0.06506719]]",[5.79777988]
46,"[[13.70558129  7.60711981 -0.78971343]
 [ 7.60711981 45.92876783 -3.5222271 ]
 [-0.78971343 -3.5222271  12.36565088]]",,[0.48777666 0.47048592 0.23742061],[ 0.1063145  -0.11340234  0.00624198],[-0.0376295  -0.16783257  0.0174231 ],"[[0.04770692]
 [0.99652498]
 [0.06827894]]",[5.76256474]
47,"[[13.72047893  7.63770944 -0.80161607]
 [ 7.63770944 45.9060272  -3.55860831]
 [-0.80161607 -3.55860831 12.37349386]]",,[0.48898253 0.46919381 0.23748329],[ 0.10849876 -0.11562169  0.00627585],[-0.03776602 -0.16765442  0.01759618],"[[0.04702799]
 [0.99677312]
 [0.0650517 ]]",[5.74719484]
48,"[[13.73990019  7.67705212 -0.8197713 ]
 [ 7.67705212 45.8738564  -3.61711956]
 [-0.8197713  -3.61711956 12.38624341]]",,[0.49103405 0.46702721 0.23757054],[ 0.10539329 -0.11141744  0.00302184],[-0.03793525 -0.16738366  0.01787357],"[[0.04682397]
 [0.99674944]
 [0.0655597 ]]",[5.69523153]
